"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL","Fixed"
"Meta Description: Over 985 Pixels","Opportunity","Low","68","85.000","Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.","","Partial - shortened descriptions on app/about, app/contact, app/seo-checker, app/free-website-audit, and rewrote the app/[slug]/page.tsx local-SEO description template (fixes all 30 programmatic city pages) to stay under 155 chars; other pages (journal articles, ai-agents/* subpages, remaining service pages) still need manual review - largely overlaps with the character-based Over 155 issue below"
"H2: Non-Sequential","Warning","Low","2","2.500","Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>.","","No - flagged only - could not identify the 2 specific pages from the aggregate CSV without a per-URL breakdown; requires a full heading-order audit that a fresh per-URL crawl export would make tractable"
"URL: Parameters","Warning","Low","1","0.640","URLs that include parameters such as '?' or '&'. This isn't an issue for Google or other search engines to crawl unless at significant scale, but it's recommended to limit the number of parameters in a URL which can be complicated for users, and can be a sign of low value-add URLs.","Where possible use a static URL structure without parameters for key indexable URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.","","No - flagged only - confirmed no internal <Link>/hardcoded href in app/ or components/ passes a query string to a public route; the local-SEO [slug] and journal/[slug] routes are fully static/slugified with no ?params. Likely /logo-export?v=... (noindexed dev utility, disallowed in robots.txt) or a stale crawl artifact"
"H1: Duplicate","Opportunity","Low","7","8.750","Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.","","No - flagged only - audited every service page's <h1> source (data/services/*.ts titleLines, and components/sections/LocalSeoTemplate.tsx which interpolates {service.keyword} {location.name} uniquely per city) and found no literal duplicate text; the 7 duplicates most likely come from the legacy redirected pages (app/web-engineering, app/shopify-engineering, app/wordpress-engineering, app/mcp-infrastructure, app/n8n-workflows, app/ai-search-optimization, app/ai-agents-automation) which still exist as unreachable page.tsx files behind next.config.mjs 301 redirects - flagging that these dead route folders could be deleted entirely to remove any residual crawl ambiguity"
"Images: Missing Size Attributes","Opportunity","Low","23","100.000","Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).","Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.","","Yes - no plain <img> tags exist anywhere in app/ or components/ (grep confirmed 0 matches); every image uses next/image's <Image> component, which requires width+height or fill and auto-renders sizing attributes"
"Security: Missing Secure Referrer-Policy Header","Warning","Low","23","14.650","URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them.","Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins.","","Partial - next.config.mjs headers() already sets 'strict-origin-when-cross-origin' sitewide (commit 8adfa06, 2026-07-30); same likely-stale-crawl explanation as the X-Content-Type-Options row above - recommend re-crawling to confirm"
"Security: Missing Content-Security-Policy Header","Warning","Low","131","83.440","URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.","Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.","","Yes - added a Content-Security-Policy header to next.config.mjs headers() (applies sitewide via '/:path*'), scoped to the site's actual resources: self + inline styles (Tailwind/Next), inline scripts (GA4/Meta Pixel/Clarity/SW registration, no nonce wiring yet so 'unsafe-inline' required, no 'unsafe-eval'), images.pexels.com/images.unsplash.com, GA/Meta/Clarity connect-src, and Supabase connect-src"
"Page Titles: Duplicate","Opportunity","Medium","5","6.250","Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.","","Partial - fixed a genuine double-suffix bug where app/agentic-ai/page.tsx and app/ai-agents/ai-for-smb/page.tsx hardcoded ' | MeghRoop' in metadata.title AND the root layout.tsx template ('%s | MeghRoop') appended it again, producing '... | MeghRoop | MeghRoop'; audited all other static page titles for literal duplicates and found none, so the remaining duplicates likely involve the 7 dead legacy-redirected pages sharing similar titles with their live replacements (see H1: Duplicate note) or CMS-generated journal posts outside this repo's static code"
"H1: Over 70 Characters","Opportunity","Low","2","2.500","Pages which have <h1>s over the configured length. There is no hard limit for characters in an <h1>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h1>s for users, including target keywords where natural for users - without keyword stuffing.","","No - flagged only - could not identify the 2 specific pages from the aggregate CSV; no >70-char <h1> found in literal or templated heading sources scanned this pass"
"URL: Over 115 Characters","Opportunity","Low","1","0.640","URLs that are more than the configured length. This is generally not an issue, however research has shown that users prefer shorter, concise URL strings.","Where possible use logical and concise URLs for users and search engines. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.","","Partial - confirmed the longest static/programmatic route is ~40 chars (well under 115); hardened lib/journal.ts slugifyTitle() to cap DB-driven journal slugs at 70 chars (down from 80) so slug + '/journal/' + site origin + a possible -XXXX dedup suffix on title collisions can no longer exceed 115 chars going forward - could not fix the specific pre-existing offending row without Supabase access"
"Page Titles: Over 561 Pixels","Opportunity","Medium","34","42.500","Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.","","Yes - audited every public page's metadata.title against the root layout's '%s | MeghRoop' template (11 extra chars) and shortened/fixed every one that exceeded 60 chars total (app/agentic-ai, app/ai-agents/ai-for-smb - double-suffix bug; app/free-website-audit, app/seo-checker, app/contact - shortened); re-verified with a script that all remaining static titles are <=60 chars post-fix"
"Security: Missing X-Frame-Options Header","Warning","Low","23","14.650","URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker.","To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value.","","Partial - next.config.mjs headers() already sets 'SAMEORIGIN' sitewide (commit 8adfa06, 2026-07-30); same likely-stale-crawl explanation as the X-Content-Type-Options row above - recommend re-crawling to confirm"
"Validation: Missing <body> Tag","Issue","High","1","0.640","Pages missing a <body> element within the HTML. The <body> element contains all the content of a page, including links, headings, paragraphs, images and more. There should be one <body> element in the HTML of the page. Browsers and Googlebot will automatically generate a <body> element if it's omitted in the markup, however this should not be relied upon.","Ensure all pages have a single valid <body> element with appropriate content for the document.","","No - flagged only - app/layout.tsx renders exactly one well-formed <body>; every route (including app/offline/page.tsx, the PWA offline fallback) renders through it. Could not reproduce without a per-URL breakdown - recommend re-crawling to identify the specific URL"
"Response Codes: Internal Redirection (3xx)","Warning","Low","1","0.610","Internal URLs which redirect to another URL. These will include server-side redirects, such as 301 or 302 redirects (and more). View URLs that link to redirects using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Redirection (3xx) inlinks'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. This reduces latency of redirect hops for users, and enhanced efficiency for search engines.","","Yes - fixed 2 more stale internal links found this pass in addition to the prior AgenticAIPageAudience.tsx fix: components/common/JsonLd.tsx (LocalBusiness Offer.url) and app/journal/[slug]/page.tsx (getRelatedServices) both pointed at the now-redirected /ai-search-optimization; repointed both to /growth-marketing, the real redirect destination"
"Response Codes: Internal Client Error (4xx)","Issue","High","1","0.610","Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.","","No - flagged only - re-searched every internal <Link href> and hardcoded href in app/ and components/ (including the 8 CTA components fixed for the legacy-route cleanup) against all real routes; found no broken internal links. Could not reproduce without a per-URL breakdown - recommend re-crawling"
"Page Titles: Over 60 Characters","Opportunity","Medium","30","37.500","Pages which have page titles that exceed the configured limit. Characters over this limit might be truncated in Google's search results and carry less weight in scoring.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.","","Yes - same fix as 'Page Titles: Over 561 Pixels' above (identical root cause and pages)"
"H2: Multiple","Warning","Low","79","98.750","Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings.","","No - flagged only - not a defect per Screaming Frog's own description (informational filter); every public page legitimately uses multiple <h2>s for section headings, no action needed"
"Response Codes: Internal No Response","Issue","High","1","0.610","Internal URLs with no response returned from the server. Usually due to a malformed URL, connection timeout, connection error, or connection refused. View URLs that link to no responses using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > No Response inlinks'.","Malformed URLs should be updated to the correct location and other connection issues can often be resolved by using different user-agents ('Config > User-Agent'), adjusting the crawl speed ('Config > Speed') or disabling firewalls & proxies.","","No - flagged only - no malformed href values found in app/ or components/; most likely a transient network/timeout during the original crawl - recommend re-crawling to confirm"
"Meta Description: Below 400 Pixels","Opportunity","Low","1","1.250","Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).","","No - flagged only - opportunity only, not a defect; could not identify the single specific page from the aggregate CSV"
"Meta Description: Over 155 Characters","Opportunity","Low","65","81.250","Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.","","Partial - same fix as 'Meta Description: Over 985 Pixels' above (about, contact, seo-checker, free-website-audit pages shortened; local-SEO template for 30 city pages fixed to stay under 155 chars); journal articles and remaining service-detail pages still need manual review by the content team"
"H1: Missing","Issue","Medium","1","1.250","Pages which have a missing <h1>, the content is empty or has a whitespace. The <h1> should describe the main title and purpose of the page and are considered to be one of the stronger on-page ranking signals.","Ensure important pages have concise, descriptive and unique headings to help users, and enable search engines to score and rank the page for relevant search queries.","","Yes - app/logo-export/page.tsx fix from prior pass confirmed still in place; additionally hardened app/journal/[slug]'s data mapping (lib/journal.ts mapRowToArticle) so a DB row with a missing/empty title can no longer render a blank <h1>/<title> - falls back to 'MeghRoop Journal'"
